Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,7.642106830182372,7.881042754043371,7.434472390300213,7.475904430883702,493956333.1311155,7581013898.23104
2023-12-30,2023-12-31,7.577683701236011,7.749841822072041,7.4106771904645505,7.642796924299829,623975602.4548771,7511107149.876813
2023-12-29,2023-12-30,7.730796036030496,7.931146584890956,7.458443340929754,7.572442733590409,782993350.551064,7573408120.181971
2023-12-28,2023-12-29,7.916176109823273,8.133120405091548,7.5742494099441675,7.7222906611750615,857191467.459733,7711564247.704991
2023-12-27,2023-12-28,8.039057784932615,8.22340539999281,7.719912549780189,7.9404171455704455,1006826658.4070085,7904742165.823855
2023-12-26,2023-12-27,8.442955322923211,8.748344076209767,7.732103387097523,8.066361167052257,1383681968.7246258,8148302208.748034
2023-12-25,2023-12-26,7.985936247631573,8.560606189956195,7.786356782745637,8.439085761401632,1673436029.2196434,8192393944.558636
2023-12-24,2023-12-25,7.734295504432166,8.386009217906247,7.622583267635437,7.917730675610674,1539496958.2352057,7932994396.909805
2023-12-23,2023-12-24,7.257050438236355,7.686363395538006,6.9488850886372315,7.631391948771795,751176662.235775,7096573003.109048
2023-12-22,2023-12-23,7.728434415785956,7.779712478143154,7.2021731471530295,7.2844280048815575,1774555181.0239787,7288019126.59206
2023-12-21,2023-12-22,6.333291400542987,7.61758279005205,6.3232039608133705,7.61758279005205,1062859339.0133543,6866859060.577574
2023-12-20,2023-12-21,6.139950491894236,6.498629815925368,6.056943593335315,6.341817073106486,479217226.82085997,6239153813.06795
2023-12-19,2023-12-20,6.259076718114799,6.41054318814253,6.060744096749162,6.136304428143022,488636375.54245764,6164230903.549733
2023-12-18,2023-12-19,6.220895745609231,6.279763280186791,5.851013822680674,6.277351899986918,538740727.0157659,6027645010.948809
2023-12-17,2023-12-18,6.484992068696071,6.529800246119942,6.171962034728373,6.2041822518006216,533843663.21986496,6296287556.203889
2023-12-16,2023-12-17,6.3673690111782175,6.693235945475731,6.2944373208512765,6.46634159392328,611942629.3447789,6425128274.031888
2023-12-15,2023-12-16,6.858975931311551,6.8993324450073406,6.334779798051227,6.334779798051227,824279852.4459932,6530581576.221195
2023-12-14,2023-12-15,6.907873264890554,7.066412690117451,6.5102800537730445,6.863154643415937,923628012.7722684,6675398705.492023
2023-12-13,2023-12-14,6.493725840856567,6.962843757422853,6.077695695580416,6.962843757422853,929039858.2977973,6297129061.906657
2023-12-12,2023-12-13,6.1377723271268785,6.66646861634598,6.1313611637313,6.50729855756589,942106559.5977948,6345213278.37174
2023-12-11,2023-12-12,6.687804803243521,6.687804803243521,5.869533246677118,6.115447553402736,815310440.2535297,6068618696.114766
2023-12-10,2023-12-11,6.527532109483039,6.696810883212271,6.374047256480986,6.696810883212271,780250935.5249424,6501010037.310668
2023-12-09,2023-12-10,6.245768334364944,7.0072903283322026,6.245768334364944,6.505127832604888,1237868813.7673724,6636099272.515302
2023-12-08,2023-12-09,5.703636198560947,6.3011681451834285,5.634494171465506,6.249236390578502,591698881.4848399,5823211785.579158
2023-12-07,2023-12-08,5.524334080374992,5.731235747471192,5.409367828728953,5.6894884784945665,622409854.4524767,5509333011.769981
2023-12-06,2023-12-07,5.404542560542862,5.647631790236133,5.309267577389659,5.50582751830922,687266092.1777968,5405669781.842397
2023-12-05,2023-12-06,5.123907818468672,5.418235070587612,5.036744838809136,5.388885592420403,550178222.215492,5095173813.608146
2023-12-04,2023-12-05,5.049656582623518,5.212819763064162,5.005896975564416,5.133018537406902,448033903.8105086,5043369797.431059
2023-12-03,2023-12-04,5.067152338311827,5.1108310580097545,4.961721950709905,5.056905034739846,274798047.78090465,4967743466.217348
2023-12-02,2023-12-03,4.9905714225271485,5.103637782498604,4.975508354968269,5.080765567392724,255344432.370831,4959942017.680661
2023-12-01,2023-12-02,4.980373366267944,5.030353887579669,4.911283035862594,4.996847992587148,477822905.4771457,4912103773.7164
2023-11-30,2023-12-01,4.713813966841698,5.045447621367711,4.681848135106518,4.981734826708492,373935972.2957735,4752080189.533376
2023-11-29,2023-11-30,4.811697757238169,4.900797787959417,4.709560486313579,4.71423564248045,315908877.3083685,4739327929.296561
2023-11-28,2023-11-29,4.709771920258973,4.838502535692636,4.668756964559341,4.806407359551454,352117661.58072335,4696787755.961584
2023-11-27,2023-11-28,4.866744833779699,4.906295570523627,4.607689157553298,4.714317800504448,364270511.9708043,4686042616.8229475
2023-11-26,2023-11-27,4.868375738790106,4.937242092225053,4.753502405630129,4.860867988609555,251647975.2374371,4799635714.741324
2023-11-25,2023-11-26,4.77593505358235,4.91096781195333,4.77593505358235,4.8669368948759395,292466405.3667502,4791595882.569779
2023-11-24,2023-11-25,4.696675386498541,4.82913638771927,4.682407607558031,4.791954385008565,253616994.9188278,4699718094.091322
2023-11-23,2023-11-24,4.728588677215818,4.768257349940164,4.661138049048059,4.688363712296242,296757876.026931,4651751929.852547
2023-11-22,2023-11-23,4.476689603322113,4.823355035885688,4.476689603322113,4.721222319823352,433070826.5754626,4594491689.9513035
2023-11-21,2023-11-22,4.8346197073824895,4.865506792228625,4.447661732931413,4.4754707900719035,362450529.656619,4650722754.337856
2023-11-20,2023-11-21,4.958664284971419,5.070692653840075,4.811425517908592,4.840858713795705,355463074.14912707,4894401889.07865
2023-11-19,2023-11-20,4.818409534254932,5.004308447791448,4.741307254549569,4.9749166377382785,285535260.4536218,4794832502.781065
2023-11-18,2023-11-19,4.779361250890889,4.835537013333317,4.579867065156342,4.83347877115576,359486723.206215,4677434274.512082
2023-11-17,2023-11-18,4.8876097119698505,5.0059088891753705,4.640713824892121,4.777020856626632,480621093.7571829,4799727548.468731
2023-11-16,2023-11-17,5.073730801175922,5.27332018210536,4.842212051318368,4.901757950494356,517144528.36517787,5001875766.530321
2023-11-15,2023-11-16,4.758456241364802,5.142664592378573,4.7444936039700085,5.074593727534707,447945122.1595986,4861264353.978311
2023-11-14,2023-11-15,4.891603953950204,5.034493988786623,4.621303798643274,4.753460307061748,463833803.10138667,4813668996.42832
2023-11-13,2023-11-14,5.185628891445382,5.367520399249303,4.8952376880545945,4.910796375710813,550896243.2659762,5050104508.272983
2023-11-12,2023-11-13,5.082588081742725,5.337448083895082,4.910965593017937,5.202259001343522,675486340.9722127,5125228158.9748335
