Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-31,2024-01-01,43.87106197679408,45.296373047534715,40.93015400626249,41.17928446882902,75041956.91193794,365180655.61311
2023-12-30,2023-12-31,44.41989757259839,44.8564464447102,42.57848659406067,43.763248464045425,100648917.56915227,369628179.04689217
2023-12-29,2023-12-30,45.622278416300745,48.44551355200336,44.217964049990414,44.600743100756794,120612608.17907044,390306724.70591336
2023-12-28,2023-12-29,49.26639340520901,50.16386558457564,45.31463105138715,45.39277530787559,133296674.74355377,400258296.76616716
2023-12-27,2023-12-28,51.334568791594016,52.766635323760056,48.01928045206817,49.42752028920678,278396286.15979373,423285072.1479018
2023-12-26,2023-12-27,53.373987821911435,58.074054463625494,48.966596981951966,51.40002373540501,586615317.7400013,447671001.3754893
2023-12-25,2023-12-26,46.79526387380068,57.528687888553144,45.02268556978666,53.48800905596991,871014379.6316763,411751476.60651904
2023-12-24,2023-12-25,36.92279603070996,56.109493249103075,35.626751627244595,47.04603755671393,654246630.8623183,373922588.41430414
2023-12-23,2023-12-24,30.430615020859772,39.37356788782283,29.944769538346375,37.536082380113385,76228337.0358805,276153827.6139712
2023-12-22,2023-12-23,31.763905752184115,32.432787723318214,29.827918313690766,30.55577363726824,92200979.21109964,260240349.2183586
2023-12-21,2023-12-22,26.968806200418108,31.853917711176635,26.963602669320164,31.336485881998524,46303455.9156839,242231405.52880985
2023-12-20,2023-12-21,26.34648213910773,27.626824659260002,25.92992578121434,26.953652057220587,24553552.659248043,226936876.5301217
2023-12-19,2023-12-20,26.76952008836874,27.448900411717986,26.109401959083815,26.236203795839,32701745.124818746,227213778.3389905
2023-12-18,2023-12-19,26.826850220465396,27.38983576925535,24.82905943893154,26.9152189591112,37120195.62019751,220321252.18606994
2023-12-17,2023-12-18,28.46559735624104,28.763659269132106,26.620443486913576,26.798824184551904,42799785.672028296,233976810.42660528
2023-12-16,2023-12-17,25.80175459417022,28.588017272071646,25.679608548397404,28.394025981139485,31586943.67281759,228987071.1543992
2023-12-15,2023-12-16,27.339169808564833,27.39659123068075,25.6885549702851,25.6885549702851,33033300.13705908,226658193.86291236
2023-12-14,2023-12-15,27.155402999790034,28.06729900220009,26.518837695474755,27.40699829287664,34618538.54094438,230808913.43024728
2023-12-13,2023-12-14,26.364466272902384,27.168001022448216,24.907751435535552,27.168001022448216,36118685.77739165,219067043.4252577
2023-12-12,2023-12-13,26.837074702622765,27.940132005367854,25.84037027231813,26.475566226344473,40059153.98899055,229729948.29517797
2023-12-11,2023-12-12,29.203038131841048,29.4134616262404,25.841648332587802,26.736929551492135,46286018.827473566,229029126.4856647
2023-12-10,2023-12-11,28.84901543714226,29.24603573091354,27.694744433591076,29.140595758665704,49046461.57817796,241954921.35110372
2023-12-09,2023-12-10,27.445431390986023,29.577783660912353,27.445431390986023,28.717101359308387,68557628.33237596,243975916.25199953
2023-12-08,2023-12-09,25.70781716434942,27.772067079906154,25.45969089199478,27.540007850941656,41297545.010989316,224821126.62889466
2023-12-07,2023-12-08,24.295651856382545,25.78340530029852,24.053915885376252,25.767155676869848,34466239.57993613,210687725.0581274
2023-12-06,2023-12-07,24.091892533389323,24.882098940122876,23.375722332277416,24.297386366748526,37419948.77771093,205510601.42405432
2023-12-05,2023-12-06,23.993299312586153,24.480605435407746,23.16758108835961,24.089518992888507,35513020.16742844,202012430.5770417
2023-12-04,2023-12-05,23.234222802421012,24.277211272491577,22.918085465716036,24.044421723372984,26120701.75814717,201028980.18837997
2023-12-03,2023-12-04,23.67068038451356,23.890871910973974,23.020878027405267,23.296756465615616,21296767.216844365,198002914.02194658
