Date,Open,High,Low,Close,Volume,Market Cap
Dec-31-2021,166.5930822804171,177.8566964083518,166.16123918655734,173.2948956021559,13874559.778288309,456410947.03618896
Dec-30-2021,169.055482585262,174.96639147391443,163.72154535984419,166.5930822804171,19476489.273366846,455350879.4557029
Dec-29-2021,166.93545903347072,174.00579736401104,164.95022419493637,169.055482585262,21411792.921207294,451459799.2019494
Dec-28-2021,172.94524208523936,183.4440871416278,165.95036007065536,167.18927487657956,25474784.277898144,459311059.69198686
Dec-27-2021,192.1100593323973,192.1100593323973,171.25811857421078,173.91231486933285,60706870.73973006,475651221.7678567
Dec-26-2021,170.13877440101453,214.51922641423977,168.32456180080618,192.63028216857649,45072616.69863758,499701412.4362544
Dec-25-2021,168.45162408124582,170.69767652520494,163.13601159472802,170.6368042030889,11026218.930561036,434964208.3087956
Dec-24-2021,170.58372208886271,173.33040445672356,167.73733631925123,168.80474659178404,14003407.07961023,445449081.40264493
Dec-23-2021,172.19203768286607,180.2628742243761,167.9983694913719,170.92739707414285,20205752.804169815,449877902.87095314
Dec-22-2021,165.3223424973957,175.94764255627518,161.29154400108698,172.70899950178904,19819365.203919984,432215677.24204224
Dec-21-2021,166.39567009375423,171.26690520404003,159.82472032247838,165.1440735540559,17434817.786886483,428818005.56798875
Dec-20-2021,160.59812491507768,167.72607455047782,155.92264142397752,166.75039630418044,13894240.888778174,422488645.93844074
Dec-19-2021,166.5238461886861,168.94170931654511,156.36025182299923,160.54594863897822,10833791.370191008,415953661.81920266
Dec-18-2021,169.69020336065944,173.24561800806197,165.8958116649777,166.5238461886861,10919885.445165165,435481423.59845454
Dec-17-2021,170.7706870782191,174.5615290547579,168.28244032791338,170.83011005933238,14534504.471628012,437887308.1364676
Dec-16-2021,177.2308528465963,177.2308528465963,163.56311427147966,168.61107840028987,17143771.713694762,434081242.47819424
Dec-15-2021,176.48851850174373,193.7261651342905,172.45971284931383,176.98537071425338,17592861.115604352,460748948.2645023
Dec-14-2021,169.00973775986233,180.38280719235473,160.5974002445763,176.11150867340004,14711133.711204195,429514866.39537734
Dec-13-2021,161.7828706010236,169.22442139589654,156.58037048779383,168.14164956711952,15077625.656852081,407322029.3531369
Dec-12-2021,180.0825218533448,180.0825218533448,158.71642737442818,162.1637755333122,14100734.270900544,425973416.1853425
Dec-11-2021,176.13451696181892,181.5501607862675,170.38597762579826,180.45907876262513,14765116.203684814,439940185.42466074
Dec-10-2021,165.71864667783865,178.2688527560125,162.62593414556818,175.25983966665157,20242544.049945205,426594625.440421
Dec-09-2021,172.48357622956877,183.19389465102586,165.02649576520676,165.02649576520676,20476981.754550938,434219862.6461426
Dec-08-2021,185.442366049187,188.15707233117442,172.66189591919922,173.59300692966167,25380918.81948388,452539164.7256672
Dec-07-2021,184.14339417546083,193.48267584582635,177.30630916255265,184.94587617192806,26902988.137115136,459939359.97285444
Dec-06-2021,202.7112298240131,203.6306897957335,175.78477286108972,183.2819421169437,35132700.340754986,486170784.3770301
Dec-05-2021,199.10249558403913,202.25771094705374,162.33371076588614,202.25771094705374,33760228.86423865,454822412.30766964
Dec-04-2021,222.9663481135921,230.21260020834276,198.42918610444315,199.10249558403913,25717532.234072123,527234434.20111233
Dec-03-2021,250.6588160695684,254.47185108021193,196.10888174283255,221.64101635037818,36688910.27337859,556441222.6780914
Dec-02-2021,277.6740794420037,283.29190633633766,244.74632003261016,250.57321436659268,35422991.07382709,657463578.8984226
Dec-01-2021,263.8417500792608,289.67908713671613,253.78441052583904,278.291951628244,39074240.63753542,655110521.6721176
Nov-30-2021,267.09485546769577,273.944381539019,259.5557769826532,264.4368857285203,44191274.63381494,652641650.4390101
Nov-29-2021,290.7929706961366,291.63269864822945,264.763581397082,264.763581397082,31326192.887478866,679385685.0345021
Nov-28-2021,283.8335975361203,297.8855926445944,280.7044703111554,290.7929706961366,31744767.41922445,707066349.436039
Nov-27-2021,292.5303682231985,294.6812808551112,260.04592599302504,283.2256895692739,26116927.2801918,680291896.4418298
Nov-26-2021,281.9476425562752,306.8088228633543,281.9476425562752,292.180714706282,36879174.20838529,718304504.1441501
Nov-25-2021,322.93591195253407,324.2645047330042,279.7955523347977,281.7324154173649,43183361.03161621,715228336.8763531
Nov-24-2021,320.9465102586168,331.23991122786356,315.7298790706101,322.27238552470675,38080527.578394,782076979.1014997
Nov-23-2021,352.9228678835092,358.34367498528013,317.25485755695456,321.8941075229856,36893261.224060774,799661134.8223989
Nov-22-2021,328.6611712486978,349.0371846551021,322.07708682458446,349.0371846551021,36699228.74499181,796782051.1716911
Nov-21-2021,342.4494383062431,351.6617472060606,326.90839791476924,329.11581140450204,39689015.94778346,802116048.0173931
Nov-20-2021,359.7568730467865,377.3963494723493,331.1867385298247,340.48009420716517,66600182.8182637,832533997.7853311
Nov-19-2021,309.77399338738167,366.63290909914394,297.9471896372118,356.6794727685245,26802195.77081067,736676829.7863913
Nov-18-2021,291.1118257167444,319.0209701526337,281.1782236514335,309.1544906925132,41488631.405974,704622504.0257287
Nov-17-2021,315.6955478056071,318.8674305901535,278.2639612301282,291.1118257167444,37915930.744434394,713156045.094475
Nov-16-2021,317.2791340187508,333.8422935821369,308.4938629466914,315.6955478056071,36784707.24571744,747550310.8795528
Nov-15-2021,345.7134834005163,345.7134834005163,305.8169301145885,317.2791340187508,57044567.32966679,756778229.7382905
Nov-14-2021,336.4686806467684,389.00249105484846,330.8981385026496,347.05765659676615,64625300.772774205,825322452.159466
Nov-13-2021,322.6139770822954,345.1381581070208,311.8716778953004,334.08677929254037,26837569.763689477,754453242.3030111
Nov-12-2021,316.2304452194393,327.69708773042254,311.83477512568504,322.3587118981838,31801799.647911113,737762654.7763314
Nov-11-2021,337.98197382127813,339.78431994202634,302.48715974455365,316.803659586032,48460456.28905885,738193984.1014087
Nov-10-2021,302.62095203587114,330.3380587888944,294.2430363694008,330.3380587888944,53453148.159342214,704281173.696685
Nov-09-2021,342.4956746229449,342.4956746229449,286.7118981837946,306.1615109379954,46086740.31446103,745964275.5996782
Nov-08-2021,358.04650613279006,373.1477248376214,331.49590108247656,341.0107341818017,99983684.00310147,797373832.772903
Nov-07-2021,349.6585896100367,446.5168712351103,342.4237510756828,359.0248540767838,127318124.3047612,820500093.9046943
Nov-06-2021,340.5760224647855,368.37248063771005,331.9779881335205,349.6585896100367,22067349.04235576,772141041.4873874
Nov-05-2021,355.558313329408,362.95556863988406,327.88213846537536,340.5897006204991,21203122.71842022,756822586.1624736
Nov-04-2021,402.4464876126636,402.4464876126636,349.66819149418,354.0870510439784,41748118.71427009,817552095.0128349
Nov-03-2021,362.87591451255525,416.44177725440466,357.2672675392907,403.07180654266926,52762237.90508264,844328109.1276577
Nov-02-2021,327.8453734317677,363.97898455545993,325.64246569138095,360.9814756103084,28448928.680756032,749716086.6653125
Nov-01-2021,345.3054939082386,347.4083936239358,322.24702205715835,327.18494982681943,23104878.83715566,727332176.5268651
Oct-31-2021,336.78364056343133,353.79944743874273,320.57665655147423,345.3054939082386,20877294.890761796,721723239.5028474
Oct-30-2021,336.18008061959324,349.662937633045,311.13510575660126,337.5001585216722,17699994.370328337,716198189.2056199
Oct-29-2021,354.31631867385295,355.97037909325604,333.1617373975271,334.27057384845324,16380962.534210274,740209080.1732996
Oct-28-2021,353.000135875719,369.19525340821593,335.432945332669,354.6639793468907,26937600.044048596,750131161.2688637
Oct-27-2021,321.34190860093304,371.01444811812127,318.93935413741565,351.79890393586663,27185320.089097828,737599462.2061384
Oct-26-2021,337.86376194574024,347.31551009685984,317.8789800262693,321.34190860093304,31247286.756534293,711535661.5846653
Oct-25-2021,373.65704968522124,374.59069704243853,337.86376194574024,337.86376194574024,31843016.109051846,759204400.8235699
Oct-24-2021,369.9663934054984,394.83690384528285,365.3780515421894,372.26704107975905,33198523.174718197,801667044.5866579
Oct-23-2021,381.2261424883373,391.4189944923592,348.3107930612799,369.2039494542325,33837652.93802935,794171898.0004226
Oct-22-2021,357.6355813216178,382.7011766195027,336.3324997695714,382.39557950994157,41588868.860658005,730483170.1460525
Oct-21-2021,318.2098826939626,362.2778205534671,310.8821051678065,358.62874224376105,49081222.046348944,694131509.7818987
Oct-20-2021,276.25182299923006,323.6632999682957,264.58517142986545,317.2712535086433,38571911.6259034,592214712.1802775
Oct-19-2021,241.13818560623216,278.5002943973912,226.88436976312332,275.6772498754473,17885030.539426606,498992336.55673575
